,method,dim,time,n_gen,n_evals,n_updates
0,COVARIANCE,2,0.007711483049206436,1000,6000,999
1,COVARIANCE,2,0.00787417299579829,1000,6000,999
2,COVARIANCE,2,0.013588677044026554,1000,6000,999
3,COVARIANCE,2,0.010022761998698115,1000,6000,999
4,COVARIANCE,2,0.007961716037243605,1000,6000,999
5,COVARIANCE,2,0.008022750029340386,1000,6000,999
6,COVARIANCE,2,0.007618403993546963,1000,6000,999
7,COVARIANCE,2,0.008018087013624609,1000,6000,999
8,COVARIANCE,2,0.009280618978664279,1000,6000,999
9,COVARIANCE,2,0.009731311001814902,1000,6000,999
10,COVARIANCE,2,0.009726746007800102,1000,6000,999
11,COVARIANCE,2,0.008087928988970816,1000,6000,999
12,COVARIANCE,2,0.012237735092639923,1000,6000,999
13,COVARIANCE,2,0.01036987395491451,1000,6000,999
14,COVARIANCE,2,0.008932383032515645,1000,6000,999
15,NONE,2,0.010580296977423131,1000,6000,0
16,NONE,2,0.007887015002779663,1000,6000,0
17,NONE,2,0.008834864012897015,1000,6000,0
18,NONE,2,0.010412635980173945,1000,6000,0
19,NONE,2,0.008776562986895442,1000,6000,0
20,NONE,2,0.010758780990727246,1000,6000,0
21,NONE,2,0.007803539978340268,1000,6000,0
22,NONE,2,0.007634338922798634,1000,6000,0
23,NONE,2,0.009719033958390355,1000,6000,0
24,NONE,2,0.007997791981324553,1000,6000,0
25,NONE,2,0.006933605065569282,1000,6000,0
26,NONE,2,0.007629985921084881,1000,6000,0
27,NONE,2,0.006967267952859402,1000,6000,0
28,NONE,2,0.006994739058427513,1000,6000,0
29,NONE,2,0.007267759996466339,1000,6000,0
30,MATRIX,2,0.0075609220657497644,1000,6000,1000
31,MATRIX,2,0.007714873994700611,1000,6000,1000
32,MATRIX,2,0.010331543046049774,1000,6000,1000
33,MATRIX,2,0.008045815979130566,1000,6000,1000
34,MATRIX,2,0.008376204990781844,1000,6000,1000
35,MATRIX,2,0.006995436968281865,1000,6000,1000
36,MATRIX,2,0.007368327002041042,1000,6000,1000
37,MATRIX,2,0.007643015938811004,1000,6000,1000
38,MATRIX,2,0.009196370025165379,1000,6000,1000
39,MATRIX,2,0.006918389932252467,1000,6000,1000
40,MATRIX,2,0.00840214907657355,1000,6000,1000
41,MATRIX,2,0.007531062001362443,1000,6000,1000
42,MATRIX,2,0.011182026006281376,1000,6000,1000
43,MATRIX,2,0.009086668957024813,1000,6000,1000
44,MATRIX,2,0.008180306991562247,1000,6000,1000
45,SEPERABLE,2,0.0072456750785931945,1000,6000,1000
46,SEPERABLE,2,0.008176972041837871,1000,6000,1000
47,SEPERABLE,2,0.007220792002044618,1000,6000,1000
48,SEPERABLE,2,0.007796501973643899,1000,6000,1000
49,SEPERABLE,2,0.0073612709529697895,1000,6000,1000
50,SEPERABLE,2,0.007403416093438864,1000,6000,1000
51,SEPERABLE,2,0.00818293308839202,1000,6000,1000
52,SEPERABLE,2,0.007085719029419124,1000,6000,1000
53,SEPERABLE,2,0.011805569985881448,1000,6000,1000
54,SEPERABLE,2,0.010588491102680564,1000,6000,1000
55,SEPERABLE,2,0.007113746949471533,1000,6000,1000
56,SEPERABLE,2,0.009632104076445103,1000,6000,1000
57,SEPERABLE,2,0.010887198965065181,1000,6000,1000
58,SEPERABLE,2,0.007644123979844153,1000,6000,1000
59,SEPERABLE,2,0.0088468809844926,1000,6000,1000
60,CHOLESKY,2,0.00727443490177393,1000,6000,1000
61,CHOLESKY,2,0.010283801006153226,1000,6000,1000
62,CHOLESKY,2,0.0074679270619526505,1000,6000,1000
63,CHOLESKY,2,0.00752234598621726,1000,6000,1000
64,CHOLESKY,2,0.008975239004939795,1000,6000,1000
65,CHOLESKY,2,0.01246929494664073,1000,6000,1000
66,CHOLESKY,2,0.009200508939102292,1000,6000,1000
67,CHOLESKY,2,0.009669609018601477,1000,6000,1000
68,CHOLESKY,2,0.009414260042831302,1000,6000,1000
69,CHOLESKY,2,0.008480035001412034,1000,6000,1000
70,CHOLESKY,2,0.008125439984723926,1000,6000,1000
71,CHOLESKY,2,0.007196316961199045,1000,6000,1000
72,CHOLESKY,2,0.007346509024500847,1000,6000,1000
73,CHOLESKY,2,0.00735829200129956,1000,6000,1000
74,CHOLESKY,2,0.00821810495108366,1000,6000,1000
75,CMSA,2,0.008155530085787177,1000,6000,1000
76,CMSA,2,0.009733907994814217,1000,6000,1000
77,CMSA,2,0.007828367059119046,1000,6000,1000
78,CMSA,2,0.00928627303801477,1000,6000,1000
79,CMSA,2,0.008640426094643772,1000,6000,1000
80,CMSA,2,0.009348203078843653,1000,6000,1000
81,CMSA,2,0.010446653002873063,1000,6000,1000
82,CMSA,2,0.007562728016637266,1000,6000,1000
83,CMSA,2,0.008062280947342515,1000,6000,1000
84,CMSA,2,0.007502082968130708,1000,6000,1000
85,CMSA,2,0.009941514930687845,1000,6000,1000
86,CMSA,2,0.007420271052978933,1000,6000,1000
87,CMSA,2,0.007882133009843528,1000,6000,1000
88,CMSA,2,0.007252500974573195,1000,6000,1000
89,CMSA,2,0.007672390900552273,1000,6000,1000
90,NATURAL_GRADIENT,2,0.008121661026962101,1000,6000,1000
91,NATURAL_GRADIENT,2,0.008391448995098472,1000,6000,1000
92,NATURAL_GRADIENT,2,0.008983712992630899,1000,6000,1000
93,NATURAL_GRADIENT,2,0.00892684399150312,1000,6000,1000
94,NATURAL_GRADIENT,2,0.007959551992826164,1000,6000,1000
95,NATURAL_GRADIENT,2,0.007619902025908232,1000,6000,1000
96,NATURAL_GRADIENT,2,0.007938891998492181,1000,6000,1000
97,NATURAL_GRADIENT,2,0.0077221960527822375,1000,6000,1000
98,NATURAL_GRADIENT,2,0.007947947015054524,1000,6000,1000
99,NATURAL_GRADIENT,2,0.007548750028945506,1000,6000,1000
100,NATURAL_GRADIENT,2,0.009637824026867747,1000,6000,1000
101,NATURAL_GRADIENT,2,0.01032421796116978,1000,6000,1000
102,NATURAL_GRADIENT,2,0.007606999948620796,1000,6000,1000
103,NATURAL_GRADIENT,2,0.00865573703777045,1000,6000,1000
104,NATURAL_GRADIENT,2,0.00781076296698302,1000,6000,1000
105,COVARIANCE,3,0.010046639945358038,1000,7000,999
106,COVARIANCE,3,0.011035675997845829,1000,7000,999
107,COVARIANCE,3,0.010219599935226142,1000,7000,999
108,COVARIANCE,3,0.010837925015948713,1000,7000,999
109,COVARIANCE,3,0.010280134971253574,1000,7000,999
110,COVARIANCE,3,0.01126328599639237,1000,7000,999
111,COVARIANCE,3,0.011321696918457747,1000,7000,999
112,COVARIANCE,3,0.010646464070305228,1000,7000,999
113,COVARIANCE,3,0.010173275019042194,1000,7000,999
114,COVARIANCE,3,0.013086330029182136,1000,7000,999
