,method,dim,time,n_gen,n_evals,n_updates
0,pycma,2,0.37522817799981567,1000,6000,999
1,pycma,2,0.35026270899834344,1000,6000,999
2,pycma,2,0.38061815299806767,1000,6000,999
3,pycma,2,0.371050321002258,1000,6000,999
4,pycma,2,0.3834923089998483,1000,6000,999
5,pycma,2,0.38832244299919694,1000,6000,999
6,pycma,2,0.3609898909999174,1000,6000,999
7,pycma,2,0.3540546139993239,1000,6000,999
8,pycma,2,0.35726390200215974,1000,6000,999
9,pycma,2,0.37336513600166654,1000,6000,999
10,pycma,2,0.3485748130005959,1000,6000,999
11,pycma,2,0.3616545689983468,1000,6000,999
12,pycma,2,0.3680542699985381,1000,6000,999
13,pycma,2,0.4078554309999163,1000,6000,999
14,pycma,2,0.39954378999755136,1000,6000,999
15,pycma,3,0.4218292980003753,1000,7000,999
16,pycma,3,0.3625786029988376,1000,7000,999
17,pycma,3,0.38367819099948974,1000,7000,999
18,pycma,3,0.3894981869998446,1000,7000,999
19,pycma,3,0.4074977750024118,1000,7000,999
20,pycma,3,0.3648669880021771,1000,7000,999
21,pycma,3,0.3805558249987371,1000,7000,999
22,pycma,3,0.3384024529987073,1000,7000,999
23,pycma,3,0.3313572570004908,1000,7000,999
24,pycma,3,0.3242036880001251,1000,7000,999
25,pycma,3,0.3904495400020096,1000,7000,999
26,pycma,3,0.41853813499983517,1000,7000,999
27,pycma,3,0.3413846920011565,1000,7000,999
28,pycma,3,0.35553036000055727,1000,7000,999
29,pycma,3,0.36115081800016924,1000,7000,999
30,pycma,5,0.38601215000016964,1000,8000,999
31,pycma,5,0.37565997799902107,1000,8000,999
32,pycma,5,0.48298051999881864,1000,8000,999
33,pycma,5,0.3780222640016291,1000,8000,999
34,pycma,5,0.3550963449997653,1000,8000,999
35,pycma,5,0.4183996469982958,1000,8000,999
36,pycma,5,0.38270922800074914,1000,8000,999
37,pycma,5,0.3744809140007419,1000,8000,999
38,pycma,5,0.36361514200325473,1000,8000,999
39,pycma,5,0.3987166539991449,1000,8000,999
40,pycma,5,0.3683125730021857,1000,8000,999
41,pycma,5,0.3756415770003514,1000,8000,999
42,pycma,5,0.403191812998557,1000,8000,999
43,pycma,5,0.35686238199923537,1000,8000,999
44,pycma,5,0.35758409399932134,1000,8000,999
45,pycma,10,0.39849778799907654,1000,10000,999
46,pycma,10,0.4263918309989094,1000,10000,999
47,pycma,10,0.4185187240000232,1000,10000,999
48,pycma,10,0.3943962539997301,1000,10000,999
49,pycma,10,0.4023051649965055,1000,10000,999
50,pycma,10,0.414724254002067,1000,10000,999
51,pycma,10,0.419106314999226,1000,10000,999
52,pycma,10,0.44850920799945015,1000,10000,999
53,pycma,10,0.4095437670002866,1000,10000,999
54,pycma,10,0.4093704320002871,1000,10000,999
55,pycma,10,0.41309320099753677,1000,10000,999
56,pycma,10,0.42540818300039973,1000,10000,999
57,pycma,10,0.4208158609981183,1000,10000,999
58,pycma,10,0.47719614199741045,1000,10000,999
59,pycma,10,0.3971106390017667,1000,10000,999
60,pycma,20,0.5163924760017835,1000,12000,999
61,pycma,20,0.4847462239995366,1000,12000,999
62,pycma,20,0.492077203001827,1000,12000,999
63,pycma,20,0.4922437660025025,1000,12000,999
64,pycma,20,0.48513822200038703,1000,12000,999
65,pycma,20,0.5000314070020977,1000,12000,999
66,pycma,20,0.519929524998588,1000,12000,999
67,pycma,20,0.5026444150025782,1000,12000,999
68,pycma,20,0.49061895799968624,1000,12000,999
69,pycma,20,0.4971232220013917,1000,12000,999
70,pycma,20,0.48960660999728134,1000,12000,999
71,pycma,20,0.4893950049990963,1000,12000,999
72,pycma,20,0.5024925540019467,1000,12000,999
73,pycma,20,0.4991692269977648,1000,12000,999
74,pycma,20,0.5198710129989195,1000,12000,999
75,pycma,40,0.7619934060021478,1000,15000,999
76,pycma,40,0.8076867339987075,1000,15000,999
77,pycma,40,0.725300336998771,1000,15000,999
78,pycma,40,0.7365077829999791,1000,15000,999
79,pycma,40,0.7172894770010316,1000,15000,999
80,pycma,40,0.7249836160008272,1000,15000,999
81,pycma,40,0.7261079090021667,1000,15000,999
82,pycma,40,0.7452911920008773,1000,15000,999
83,pycma,40,0.7764294869994046,1000,15000,999
84,pycma,40,0.7558684180003183,1000,15000,999
85,pycma,40,0.779672420998395,1000,15000,999
86,pycma,40,0.7185493069991935,1000,15000,999
87,pycma,40,0.7282580280007096,1000,15000,999
88,pycma,40,0.725094862998958,1000,15000,999
89,pycma,40,0.7324797670007683,1000,15000,999
90,pycma,100,1.1860735909976938,1000,17000,499
91,pycma,100,1.179873047000001,1000,17000,499
92,pycma,100,1.1579261769984441,1000,17000,499
93,pycma,100,1.1868787919993338,1000,17000,499
94,pycma,100,1.1689511779986788,1000,17000,499
95,pycma,100,1.1685953640007938,1000,17000,499
96,pycma,100,1.1752932720009994,1000,17000,499
97,pycma,100,1.1767060749989469,1000,17000,499
98,pycma,100,1.263973029999761,1000,17000,499
99,pycma,100,1.1710044499996002,1000,17000,499
100,pycma,100,1.1632260660007887,1000,17000,499
101,pycma,100,1.162450912001077,1000,17000,499
102,pycma,100,1.2229755409971403,1000,17000,499
103,pycma,100,1.1903688200000033,1000,17000,499
104,pycma,100,1.1521793680003611,1000,17000,499
105,pycma,200,2.293771057000413,1000,19000,333
106,pycma,200,2.225037386000622,1000,19000,333
107,pycma,200,2.2743380059982883,1000,19000,333
108,pycma,200,2.3483467389996804,1000,19000,333
109,pycma,200,2.406930986999214,1000,19000,333
110,pycma,200,2.2418446960000438,1000,19000,333
111,pycma,200,2.3124730449999333,1000,19000,333
112,pycma,200,2.239005701998394,1000,19000,333
113,pycma,200,2.2397954230000323,1000,19000,333
114,pycma,200,2.29090806000022,1000,19000,333
115,pycma,200,2.2225995649969263,1000,19000,333
116,pycma,200,2.279442361003021,1000,19000,333
117,pycma,200,2.2536674520015367,1000,19000,333
118,pycma,200,2.274126060998242,1000,19000,333
119,pycma,200,2.2505753169971285,1000,19000,333
120,pycma,500,8.518034722001175,1000,22000,199
121,pycma,500,8.57804089199999,1000,22000,199
122,pycma,500,8.334146625998983,1000,22000,199
123,pycma,500,8.673984130000463,1000,22000,199
124,pycma,500,8.340618348000135,1000,22000,199
125,pycma,500,8.30776469799821,1000,22000,199
126,pycma,500,8.358887310998398,1000,22000,199
127,pycma,500,8.40083719500035,1000,22000,199
128,pycma,500,8.47234620999734,1000,22000,199
129,pycma,500,8.808449586998904,1000,22000,199
130,pycma,500,9.255677911998646,1000,22000,199
131,pycma,500,8.432874996000464,1000,22000,199
132,pycma,500,9.10525231200154,1000,22000,199
133,pycma,500,9.15324209100072,1000,22000,199
134,pycma,500,9.024118483001075,1000,22000,199
135,pycma,1000,29.205384237000544,1000,24000,124
136,pycma,1000,30.037788082001498,1000,24000,124
137,pycma,1000,30.567731778999587,1000,24000,124
138,pycma,1000,30.19753730500088,1000,24000,124
139,pycma,1000,30.272570720997464,1000,24000,124
140,pycma,1000,31.294434662999265,1000,24000,124
141,pycma,1000,28.802552930003003,1000,24000,124
142,pycma,1000,28.48719723999966,1000,24000,124
143,pycma,1000,29.00229881999985,1000,24000,124
144,pycma,1000,28.366859042002034,1000,24000,124
145,pycma,1000,29.541915236000932,1000,24000,124
146,pycma,1000,29.24515235400031,1000,24000,124
147,pycma,1000,31.158946973999264,1000,24000,124
148,pycma,1000,30.647990902998572,1000,24000,124
149,pycma,1000,29.235625232999155,1000,24000,124
