,method,dim,time,n_gen,n_evals,n_updates
0,pycma,2,0.44070486900091055,1000,6000,139
1,pycma,2,0.3535105579994706,1000,6000,92
2,pycma,2,0.34650415199939744,1000,6000,999
3,pycma,2,0.34052088399948843,1000,6000,265
4,pycma,2,0.33877943699917523,1000,6000,999
5,pycma,2,0.3604653269994742,1000,6000,330
6,pycma,2,0.4270241310005076,1000,6000,522
7,pycma,2,0.3909456579985999,1000,6000,514
8,pycma,2,0.3604796039999201,1000,6000,999
9,pycma,2,0.3676343170009204,1000,6000,717
10,pycma,2,0.3209550939991459,1000,6000,999
11,pycma,2,0.3492205910006305,1000,6000,582
12,pycma,2,0.32644210000034946,1000,6000,1000
13,pycma,2,0.3512573500011058,1000,6000,1000
14,pycma,2,0.3695678639996913,1000,6000,1000
15,pycma,3,0.31428850600059377,1000,7000,999
16,pycma,3,0.3255313700010447,1000,7000,169
17,pycma,3,0.3277062390006904,1000,7000,1000
18,pycma,3,0.32783064100112824,1000,7000,147
19,pycma,3,0.35225674199864443,1000,7000,1000
20,pycma,3,0.32809918400016613,1000,7000,29
21,pycma,3,0.35889233999841963,1000,7000,999
22,pycma,3,0.41217241900085355,1000,7000,123
23,pycma,3,0.3551948260010249,1000,7000,284
24,pycma,3,0.347183125999436,1000,7000,247
25,pycma,3,0.33361990800040076,1000,7000,34
26,pycma,3,0.3264031080016139,1000,7000,999
27,pycma,3,0.314500765000048,1000,7000,999
28,pycma,3,0.3529576929995528,1000,7000,999
29,pycma,3,0.3224463629994716,1000,7000,999
30,pycma,5,0.3470342950004124,1000,8000,999
31,pycma,5,0.3550727570000163,1000,8000,999
32,pycma,5,0.35636311800044496,1000,8000,999
33,pycma,5,0.35452685999916866,1000,8000,999
34,pycma,5,0.36638483600108884,1000,8000,999
35,pycma,5,0.3533895119999215,1000,8000,999
36,pycma,5,0.3549639169996226,1000,8000,999
37,pycma,5,0.3673053849997814,1000,8000,999
38,pycma,5,0.3537444939993293,1000,8000,999
39,pycma,5,0.3605149659997551,1000,8000,999
40,pycma,5,0.344889403999332,1000,8000,999
41,pycma,5,0.35642473500047345,1000,8000,999
42,pycma,5,0.3694338360000984,1000,8000,999
43,pycma,5,0.35963648500001,1000,8000,999
44,pycma,5,0.3586162999999942,1000,8000,999
45,pycma,10,0.4479505669987702,1000,10000,999
46,pycma,10,0.38854656599869486,1000,10000,999
47,pycma,10,0.4760984330005158,1000,10000,999
48,pycma,10,0.3963108750012907,1000,10000,999
49,pycma,10,0.43280168199999025,1000,10000,999
50,pycma,10,0.4157153799988009,1000,10000,999
51,pycma,10,0.4148283270005777,1000,10000,999
52,pycma,10,0.4192642899997736,1000,10000,999
53,pycma,10,0.4272819960006018,1000,10000,999
54,pycma,10,0.4289818209999794,1000,10000,999
55,pycma,10,0.45167281899921363,1000,10000,999
56,pycma,10,0.4171337070001755,1000,10000,999
57,pycma,10,0.42829337600051076,1000,10000,999
58,pycma,10,0.4119511320004676,1000,10000,999
59,pycma,10,0.43349506800041127,1000,10000,999
60,pycma,20,0.5119299860016326,1000,12000,999
61,pycma,20,0.5452679429999989,1000,12000,999
62,pycma,20,0.5192972789991472,1000,12000,999
63,pycma,20,0.5362323129993456,1000,12000,999
64,pycma,20,0.5232196719989588,1000,12000,999
65,pycma,20,0.5090271150002081,1000,12000,999
66,pycma,20,0.5173033760001999,1000,12000,999
67,pycma,20,0.5096404310006619,1000,12000,999
68,pycma,20,0.5402285910004139,1000,12000,999
69,pycma,20,0.517333449999569,1000,12000,999
70,pycma,20,0.5133502469998348,1000,12000,999
71,pycma,20,0.5270525460000499,1000,12000,999
72,pycma,20,0.5576650260009046,1000,12000,999
73,pycma,20,0.4994467739998072,1000,12000,999
74,pycma,20,0.557016916000066,1000,12000,999
75,pycma,40,0.7336929040011455,1000,15000,999
76,pycma,40,0.7317130789997464,1000,15000,999
77,pycma,40,0.7297067190011148,1000,15000,999
78,pycma,40,0.7342380509999202,1000,15000,999
79,pycma,40,0.7314286870005162,1000,15000,999
80,pycma,40,0.7292081820014573,1000,15000,999
81,pycma,40,0.7485082120001607,1000,15000,999
82,pycma,40,0.7461409130009997,1000,15000,999
83,pycma,40,0.728692406000846,1000,15000,999
84,pycma,40,0.7272400559995731,1000,15000,999
85,pycma,40,0.746452909999789,1000,15000,999
86,pycma,40,0.7587970450003922,1000,15000,999
87,pycma,40,0.7340016260004631,1000,15000,999
88,pycma,40,0.8196933950002858,1000,15000,999
89,pycma,40,0.7440260549992672,1000,15000,999
90,pycma,100,1.2280191730005754,1000,17000,499
91,pycma,100,1.2124191270013398,1000,17000,499
92,pycma,100,1.260799264000525,1000,17000,499
93,pycma,100,1.1939598099997966,1000,17000,499
94,pycma,100,1.22324354400007,1000,17000,499
95,pycma,100,1.2449042730004294,1000,17000,499
96,pycma,100,1.265080699000464,1000,17000,499
97,pycma,100,1.312179398999433,1000,17000,499
98,pycma,100,1.2147428449989093,1000,17000,499
99,pycma,100,1.226590145000955,1000,17000,499
100,pycma,100,1.252473305001331,1000,17000,499
101,pycma,100,1.305377808999765,1000,17000,499
102,pycma,100,1.2888086089988064,1000,17000,499
103,pycma,100,1.240838170000643,1000,17000,499
104,pycma,100,1.2462555649999558,1000,17000,499
