algorithm_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
BIPOP-CMA-ES,726.1333333333333,2156.6,114274.5,inf,66.2,1862.0666666666664,1738.2,2341.0,2382.2,2151.733333333333,2307.9333333333334,5139.866666666667,4365.333333333333,2513.133333333333,25476.4,17220.466666666667,9781.666666666666,16123.066666666668,122400.8,121464.26666666666,45231.53333333333,43104.066666666666,60581.6,1512395.6666666667
AMALGAM,1639.4666666666667,2501.8,871842.0666666667,inf,291.0,6661.2,3954.933333333333,4272.2,5899.133333333333,2478.6,2039.7333333333331,8315.933333333332,3510.0666666666666,2095.0666666666666,107087.0,65376.333333333336,28620.066666666666,39372.13333333333,511640.4,972253.7333333332,66641.06666666667,71894.6,34887.2,2755281.0
iAMALGAM,997.4666666666668,1715.8666666666666,314050.6,inf,115.2,3483.2,6092.866666666667,3654.533333333333,4528.8,1862.3333333333333,1776.4666666666667,3643.733333333333,2475.733333333333,1478.3333333333333,184132.66666666663,83074.6,54292.13333333333,60871.8,1445554.3333333333,1001209.8,39122.6,42832.4,39503.93333333333,2615696.0
IPOP-SEP-CMA-ES,598.2666666666667,1305.2,160035.25,inf,69.26666666666667,2169.2,2023.0,3072.4666666666667,2916.266666666667,3515.9333333333334,3832.733333333333,5079.666666666667,5536.6,3345.8,21681.42857142857,12254.8,8254.933333333332,12802.933333333332,365307.5,93098.57142857143,17969.384615384617,58662.0,56463.66666666666,inf
VNS,861.0666666666667,2663.6666666666665,128370.6,416566.8,153.06666666666666,2061.0,12442.2,19508.33333333333,3845.4,2568.4666666666667,2570.0666666666666,5622.0,7593.133333333333,3043.2,6541720.5,576383.1333333333,755585.2,16229831.2,25482348.75,553327.5333333333,16261.533333333333,23357.2,832260.4666666667,inf
MA-LS-CHAIN,1877.0666666666664,5067.533333333334,47822.71428571428,148139.2,705.3333333333334,5305.866666666667,33023.21428571428,5305.0,6132.2,6259.133333333333,6661.8,10128.866666666669,12826.2,6705.733333333334,79887.7,415021.5,92144.25,inf,inf,50049.07142857143,16098.923076923076,17870.35714285714,64579.77777777778,inf
NELDER,235.53333333333333,837.2666666666667,596164.6666666666,inf,42.46666666666667,4257.733333333334,182784.11111111112,1363.9333333333334,2003.9333333333332,1117.2666666666669,2725.0666666666666,1606.8666666666666,3866.533333333333,544.7333333333333,367533.75,914244.0,inf,inf,inf,inf,17192.8,12762.266666666666,177469.07142857142,inf
NELDERDOERR,236.86666666666667,988.8666666666668,243840.3333333333,768671.0,25.0,21039.214285714286,80289.11111111111,1050.0666666666666,772.4,901.7333333333332,2392.266666666667,1909.7333333333331,11751.666666666666,667.2,740990.0,inf,inf,inf,inf,792628.0,2123.4666666666667,2249.133333333333,inf,inf
ALPS,19530.666666666668,26618.866666666665,59407.2,124194.6,1648.2,56521.46666666667,16784.466666666667,206821.9333333333,272398.86666666664,inf,inf,inf,inf,4704968.5,554544.0,2685396.0,1785426.125,inf,2653488.9,75439.93333333333,15693.866666666669,41656.66666666666,inf,inf
Cauchy-EDA,8261.533333333333,12124.6,inf,inf,411.2,49340.93333333333,6530.2,17996.533333333333,16796.733333333334,12074.066666666668,10879.8,26955.4,17868.733333333334,10145.8,inf,inf,89789.07142857143,95342.35714285714,inf,inf,176354.25,704085.0,inf,inf
POEMS,40333.86666666667,63916.13333333333,95014.26666666666,111487.6,2234.6666666666665,55662.066666666666,36412.93333333333,inf,inf,inf,741802.5,inf,inf,inf,990866.0,141103.14285714287,110645.2,792953.0,inf,169057.5,109942.5,338982.0,208900.8,inf
CMA-ESPLUSSEL,441.06666666666666,1461.6666666666667,inf,inf,31.53333333333333,2729.133333333333,4983.466666666666,2157.133333333333,1787.0,1512.8666666666666,2038.4666666666667,2978.266666666667,8906.933333333332,1794.3333333333333,inf,inf,inf,inf,inf,224390.0,11304.733333333334,4717.8,inf,inf
EDA-PSO,53317.93333333333,70616.26666666666,211485.25,inf,166.26666666666668,101149.26666666666,33641.46666666667,403857.93333333335,413291.0,inf,inf,inf,inf,inf,121269.25,226476.57142857145,168336.06666666668,225331.57142857145,inf,78659.76923076923,61408.63636363636,46538.0,inf,inf
PSO,6592.266666666666,10925.4,63979.75,718429.0,163.6,16511.2,176367.83333333334,524012.0,366871.0,inf,486488.0,inf,inf,inf,808785.0,inf,835676.0,inf,inf,120336.8,48836.875,59708.875,inf,inf
G3PCX,628.6666666666666,63687.66666666666,inf,inf,278.3333333333333,8727.0,381607.0,6863.0,3702.933333333333,73275.66666666667,124522.0,7879.4,inf,335651.0,inf,inf,inf,inf,inf,878025.0,11607.0,13021.466666666667,inf,inf
Rosenbrock,197.7333333333333,24391.666666666668,inf,inf,42.2,5246.333333333333,inf,16782.76923076923,5233.6,33193.1,21356.08333333333,90723.33333333331,746356.0,36250.0,inf,inf,inf,inf,inf,inf,25647.166666666668,11863.2,inf,inf
ONEFIFTH,383.73333333333335,inf,1987855.625,1953086.5,25.53333333333333,1475.2666666666669,1268373.8,176413.33333333334,113911.6,inf,inf,inf,3063941.0,inf,2280878.1,inf,inf,inf,inf,1654419.6,31223.866666666665,32768.6,inf,inf
