iter	Passed	Remaining
0	18	37099
1	30	30385
2	44	29712
3	62	31004
4	79	31730
5	95	31707
6	104	29839
7	121	30278
8	136	30209
9	148	29617
10	166	30152
11	180	29859
12	194	29732
13	208	29518
14	221	29349
15	236	29366
16	250	29199
17	264	29146
18	280	29221
19	296	29326
20	309	29176
21	323	29059
22	337	29010
23	352	29052
24	372	29465
25	389	29535
26	406	29678
27	423	29825
28	440	29948
29	457	30012
30	478	30372
31	496	30527
32	512	30570
33	531	30743
34	550	30888
35	566	30889
36	597	31695
37	615	31754
38	621	31248
39	642	31505
40	662	31666
41	678	31620
42	697	31723
43	716	31852
44	734	31921
45	748	31777
46	766	31845
47	783	31856
48	805	32073
49	825	32198
50	845	32310
51	865	32429
52	872	32034
53	890	32095
54	907	32104
55	927	32200
56	943	32168
57	963	32266
58	971	31966
59	1007	32585
60	1029	32713
61	1031	32253
62	1048	32230
63	1050	31773
64	1068	31810
65	1086	31835
66	1104	31875
67	1121	31875
68	1145	32065
69	1164	32095
70	1183	32147
71	1203	32219
72	1223	32297
73	1242	32329
74	1263	32423
75	1283	32492
76	1302	32535
77	1324	32637
78	1343	32666
79	1352	32459
80	1372	32523
81	1390	32520
82	1408	32523
83	1427	32560
84	1449	32659
85	1475	32828
86	1495	32893
87	1504	32685
88	1506	32355
89	1526	32405
90	1546	32443
91	1564	32453
92	1572	32235
93	1594	32328
94	1616	32408
95	1633	32403
96	1657	32508
97	1679	32599
98	1700	32654
99	1707	32441
100	1727	32474
101	1749	32557
102	1772	32641
103	1790	32645
104	1808	32647
105	1817	32472
106	1822	32238
107	1840	32238
108	1849	32083
109	1851	31820
110	1871	31843
111	1891	31889
112	1907	31856
113	1930	31929
114	1953	32013
115	1976	32104
116	1998	32162
117	2022	32260
118	2024	32004
119	2027	31767
120	2051	31851
121	2071	31893
122	2087	31858
123	2107	31890
124	2117	31763
125	2138	31805
126	2162	31890
127	2186	31976
128	2207	32021
129	2230	32086
130	2253	32155
131	2258	31964
132	2281	32032
133	2303	32071
134	2323	32101
135	2345	32152
136	2351	31980
137	2354	31775
138	2376	31812
139	2399	31877
140	2421	31924
141	2427	31763
142	2444	31741
143	2466	31794
144	2486	31811
145	2507	31844
146	2514	31702
147	2534	31717
148	2553	31722
149	2557	31546
150	2559	31339
151	2578	31348
152	2598	31363
153	2601	31180
154	2604	31003
155	2629	31085
156	2638	30968
157	2641	30795
158	2660	30808
159	2666	30663
160	2674	30553
161	2677	30379
162	2695	30375
163	2716	30414
164	2722	30277
165	2741	30293
166	2744	30123
167	2746	29944
168	2765	29967
169	2785	29982
170	2802	29977
171	2819	29963
172	2840	29993
173	2857	29990
174	2860	29826
175	2863	29680
176	2883	29695
177	2904	29732
178	2923	29739
179	2927	29600
180	2948	29630
181	2955	29517
182	2956	29358
183	2967	29288
184	2988	29317
185	3008	29344
186	3027	29353
187	3033	29234
188	3051	29240
189	3072	29270
190	3091	29282
191	3110	29288
192	3127	29284
193	3138	29213
194	3157	29230
195	3177	29247
196	3188	29179
197	3206	29180
198	3209	29045
199	3210	28894
200	3218	28809
201	3228	28738
202	3249	28767
203	3252	28635
204	3254	28495
205	3276	28532
206	3279	28409
207	3298	28421
208	3320	28452
209	3327	28364
210	3329	28230
211	3346	28222
212	3363	28222
213	3384	28246
214	3393	28175
215	3398	28066
